revid,timestamp,label,description,alias,action,language,property
611053932,2017-12-19T22:19:36Z,uk,,,add,uk,P1453
625084047,2018-01-31T12:45:53Z,,uk,,add,uk,P1453
671934051,2018-04-30T08:20:12Z,ar,,,add,ar,P1453
671934057,2018-04-30T08:20:12Z,,,ar,add,ar,P1453
671934083,2018-04-30T08:20:16Z,,,ar,update,ar,P1453
683961200,2018-05-23T17:47:47Z,ko,,,add,ko,P1453
683961205,2018-05-23T17:47:48Z,,,ko,add,ko,P1453
656385701,2018-03-25T09:29:47Z,nl,,,add,nl,P4989
656385902,2018-03-25T09:30:21Z,en,,,add,en,P4989
656385906,2018-03-25T09:30:21Z,,en,,add,en,P4989
656474716,2018-03-25T13:31:29Z,,,en,add,en,P4989
656474719,2018-03-25T13:31:29Z,,,nl,add,nl,P4989
661068474,2018-04-04T20:05:56Z,uk,,,add,uk,P4989
661068480,2018-04-04T20:05:57Z,,uk,,add,uk,P4989
661068486,2018-04-04T20:05:57Z,,,uk,add,uk,P4989
671665553,2018-04-29T19:14:04Z,fr,,,add,fr,P4989
671665558,2018-04-29T19:14:05Z,,fr,,add,fr,P4989
672095481,2018-04-30T15:13:20Z,ar,,,add,ar,P4989
672095484,2018-04-30T15:13:21Z,,,ar,add,ar,P4989
687933099,2018-05-31T13:27:21Z,ca,,,add,ca,P4989
692864084,2018-06-09T13:37:09Z,pl,,,add,pl,P4989
705804427,2018-07-03T21:08:04Z,he,,,add,he,P4989
709768578,2018-07-12T15:25:02Z,,,en,add,en,P4989
709768580,2018-07-12T15:25:03Z,,,nl,add,nl,P4989
709770695,2018-07-12T15:30:03Z,,,uk,add,uk,P4989
301835908,2016-02-08T11:32:10Z,nl,,,add,nl,P2531
301839803,2016-02-08T11:44:26Z,hu,,,add,hu,P2531
301839808,2016-02-08T11:44:27Z,en,,,add,en,P2531
301839812,2016-02-08T11:44:27Z,nl,,,update,nl,P2531
302041503,2016-02-08T22:34:35Z,fr,,,add,fr,P2531
302041506,2016-02-08T22:34:35Z,,fr,,add,fr,P2531
302138840,2016-02-09T07:12:41Z,ru,,,add,ru,P2531
302432468,2016-02-10T02:20:39Z,es,,,add,es,P2531
302432471,2016-02-10T02:20:39Z,,,es,add,es,P2531
302914462,2016-02-11T10:46:51Z,ar,,,add,ar,P2531
311586782,2016-03-10T00:57:32Z,ko,,,add,ko,P2531
311586785,2016-03-10T00:57:33Z,,,ko,add,ko,P2531
317189577,2016-03-30T18:55:01Z,de,,,add,de,P2531
317189580,2016-03-30T18:55:02Z,,de,,add,de,P2531
317189800,2016-03-30T18:55:45Z,,en,,add,en,P2531
317363281,2016-03-31T06:35:46Z,it,,,add,it,P2531
318243165,2016-04-02T14:30:03Z,,ko,,add,ko,P2531
345022427,2016-06-08T20:32:21Z,it,,,update,it,P2531
345022433,2016-06-08T20:32:21Z,,,it,add,it,P2531
376401226,2016-09-14T14:57:44Z,sv,,,add,sv,P2531
376401227,2016-09-14T14:57:45Z,,en,,update,en,P2531
376401232,2016-09-14T14:57:45Z,,sv,,add,sv,P2531
376401242,2016-09-14T14:57:51Z,sv,,,update,sv,P2531
463606002,2017-03-08T18:17:20Z,fi,,,add,fi,P2531
519187365,2017-07-14T05:29:02Z,bn,,,add,bn,P2531
612889279,2017-12-23T19:20:42Z,uk,,,add,uk,P2531
638031729,2018-02-24T19:24:15Z,,uk,,add,uk,P2531
9769919,2013-03-06T09:14:28Z,en,,,update,en,P210
9770002,2013-03-06T09:15:22Z,,en,,update,en,P210
9770409,2013-03-06T09:19:44Z,,,fr,add,fr,P210
9770475,2013-03-06T09:20:31Z,,,en,add,en,P210
9771287,2013-03-06T09:30:22Z,it,,,update,it,P210
9771333,2013-03-06T09:30:52Z,,it,,update,it,P210
9774917,2013-03-06T10:07:17Z,zh-hans,,,update,zh-hans,P210
9774930,2013-03-06T10:07:20Z,zh,,,update,zh,P210
9775116,2013-03-06T10:08:14Z,zh-hant,,,update,zh-hant,P210
9777065,2013-03-06T10:18:10Z,ca,,,update,ca,P210
9777119,2013-03-06T10:18:27Z,,ca,,update,ca,P210
9783981,2013-03-06T11:25:58Z,fr,,,update,fr,P210
9784017,2013-03-06T11:26:18Z,ca,,,update,ca,P210
9784033,2013-03-06T11:26:28Z,,ca,,update,ca,P210
9784057,2013-03-06T11:26:43Z,en,,,update,en,P210
9784073,2013-03-06T11:26:50Z,,en,,update,en,P210
9788967,2013-03-06T12:10:14Z,de,,,update,de,P210
9844401,2013-03-06T19:16:31Z,cs,,,update,cs,P210
9941073,2013-03-07T12:11:56Z,ru,,,update,ru,P210
10084435,2013-03-08T00:48:09Z,is,,,update,is,P210
10137989,2013-03-08T06:29:16Z,ilo,,,update,ilo,P210
10138286,2013-03-08T06:30:48Z,,ilo,,update,ilo,P210
10176613,2013-03-08T09:43:46Z,uk,,,update,uk,P210
10207478,2013-03-08T12:15:43Z,fi,,,update,fi,P210
10207736,2013-03-08T12:16:54Z,,fi,,update,fi,P210
